work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Data Analyst,130000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,100000,USD,US,100,United States,M
2023,MI,FT,Data Analyst,150000,USD,US,100,United States,M
2023,MI,FT,Data Analyst,110000,USD,US,100,United States,M
2023,MI,FT,Data Analyst,105380,USD,US,0,United States,M
2023,MI,FT,Data Analyst,64500,USD,US,0,United States,M
2023,EN,FT,Data Quality Analyst,100000,USD,NG,100,Nigeria,L
2023,EN,FT,Compliance Data Analyst,30000,USD,NG,100,Nigeria,L
2023,SE,FT,Data Analyst,202800,USD,US,0,United States,L
2023,SE,FT,Data Analyst,104300,USD,US,0,United States,L
2023,SE,FT,Data Analyst,145000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,65000,USD,US,0,United States,M
2023,EN,FT,Data Analyst,75000,USD,US,0,United States,M
2023,EN,FT,Data Analyst,70000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,204500,USD,US,0,United States,M
2023,SE,FT,Data Analyst,138900,USD,US,0,United States,M
2023,MI,FT,Business Data Analyst,105000,USD,US,50,United States,L
2023,MI,FT,Data Analyst,47120,GBP,GB,0,United Kingdom,M
2023,MI,FT,Data Analyst,43400,GBP,GB,0,United Kingdom,M
2023,SE,FT,Data Analyst,168400,USD,US,0,United States,M
2023,SE,FT,Data Analyst,105200,USD,US,0,United States,M
2023,SE,FT,Data Analyst,55800,GBP,CF,100,Central African Republic,M
2023,SE,FT,Data Analyst,43400,GBP,CF,100,Central African Republic,M
2020,SE,FT,Staff Data Analyst,15000,USD,NG,0,Canada,M
2023,EN,FT,Data Analyst,85000,USD,US,100,United States,M
2023,EN,FT,Data Analyst,75000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,120000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,75000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,140000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,120000,USD,US,0,United States,M
2023,SE,FT,Data Quality Analyst,100000,USD,US,0,United States,M
2023,SE,FT,Data Quality Analyst,80000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,135000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,105500,USD,US,0,United States,M
2023,SE,FT,Data Analyst,80000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,70000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,200000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,148500,USD,US,0,United States,M
2023,SE,FT,Data Analyst,149500,USD,US,100,United States,M
2023,SE,FT,Data Analyst,127075,USD,US,100,United States,M
2023,SE,FT,Data Analyst,187000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,128000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,142000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,75000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,125000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,112000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,139000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,106000,USD,US,0,United States,M
2023,EN,FT,Data Analyst,40700,CAD,CA,0,Canada,L
2023,SE,FT,Data Analyst,140000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,120000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,175000,USD,CA,100,Canada,M
2023,SE,FT,Data Analyst,135000,USD,CA,100,Canada,M
2023,SE,FT,Data Quality Analyst,100000,USD,US,0,United States,M
2023,SE,FT,Data Quality Analyst,80000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,90000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,75000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,155000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,106000,USD,US,0,United States,M
2023,MI,FT,Lead Data Analyst,68000,USD,US,0,United States,L
2023,SE,FT,Data Analyst,105000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,90000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,135000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,105500,USD,US,0,United States,M
2023,SE,FT,Data Analyst,80000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,70000,USD,US,0,United States,M
2023,EN,FT,Data Analyst,64200,USD,US,100,United States,M
2023,EN,FT,Data Analyst,56100,USD,US,100,United States,M
2023,SE,FT,Data Analyst,208450,USD,US,100,United States,M
2023,SE,FT,Data Analyst,170550,USD,US,100,United States,M
2023,SE,FT,Data Analyst,153600,USD,US,0,United States,M
2023,SE,FT,Data Analyst,100500,USD,US,0,United States,M
2023,MI,FT,Data Analyst,182500,USD,US,0,United States,M
2023,MI,FT,Data Analyst,121500,USD,US,0,United States,M
2023,MI,FT,Data Analyst,74400,GBP,GB,0,United Kingdom,M
2023,MI,FT,Data Analyst,55800,GBP,GB,0,United Kingdom,M
2023,SE,FT,Data Analyst,100000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,80000,USD,US,100,United States,M
2023,EN,FT,Business Data Analyst,21400,EUR,ES,0,Spain,M
2023,SE,FT,Data Analyst,175000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,145000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,148700,USD,US,0,United States,M
2023,SE,FT,Data Analyst,125600,USD,US,0,United States,M
2023,SE,FT,Data Analyst,185000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,120250,USD,US,100,United States,M
2023,SE,FT,Data Analyst,208049,USD,US,0,United States,M
2023,SE,FT,Data Analyst,128500,USD,US,0,United States,M
2023,SE,FT,Data Analyst,190000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,95000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,153600,USD,US,0,United States,M
2023,SE,FT,Data Analyst,106800,USD,US,0,United States,M
2023,MI,FT,Data Analyst,128000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,85000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,135000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,105500,USD,US,0,United States,M
2023,SE,FT,Data Analyst,100000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,80000,USD,US,100,United States,M
2023,MI,FT,Data Analyst,154000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,143000,USD,US,0,United States,M
2023,EN,FT,Data Analyst,85000,USD,US,100,United States,M
2023,EN,FT,Data Analyst,75000,USD,US,100,United States,M
